"rank","persona_id","role","role_label","work_setting","life_stage","time_pressure","personal_priority","primary_goal","completed_first_value","wow_moment","love_score","use_again_score","family_time_back_resonance_score","outcome_tier","primary_pain_point"
"2463","DEMO-TEST-SL-5000-TECH-0802","tech","Service Tech","solo residential route","late career or empty nest","elder-care responsibility","teach the next person faster","avoid a wrong part order","true","false","63.8","63.4","75.2","weak_payoff","service-tech start favors code lookup over the PartSnap fork"
"2464","DEMO-TEST-SL-5000-TRAINER-0207","trainer","Trainer","service-company ride-along","late career or empty nest","protect dinner at home","get home for dinner","use a facility scenario","true","false","63.8","63","76.1","weak_payoff","training value is hidden until after a PartSnap result"
"2465","DEMO-TEST-SL-5000-COUNTER-0415","counter","Counter / Distributor","manufacturer support desk","early career","unpredictable on-call schedule","feel confident without calling a boss","collect the missing label proof","false","false","63.8","61.3","75.4","failed_first_value","proof packet value is invisible before the first successful scan"
"2466","DEMO-TEST-SL-5000-HOMEOWNER-0440","homeowner","Homeowner","first-time pool owner","early career","second job or side work","protect customer or facility trust","understand turnover time","true","false","63.8","60.8","75.4","weak_payoff","technical navigation remains too broad for homeowner mode"
"2467","DEMO-TEST-SL-5000-HOMEOWNER-0964","homeowner","Homeowner","experienced DIY owner","late career or empty nest","school or daycare pickup","avoid a weekend callback","know when to stop and call a pro","true","true","63.7","70.5","86.9","weak_payoff","technical navigation remains too broad for homeowner mode"
"2468","DEMO-TEST-SL-5000-TECH-0005","tech","Service Tech","repair-only specialist","established family","protect dinner at home","protect customer or facility trust","prepare a senior-tech packet","true","false","63.7","66.4","70.8","weak_payoff","dense supporting copy is difficult to scan"
"2469","DEMO-TEST-SL-5000-FACILITY-0220","facility","Facility / CPO","swim school","late career or empty nest","unpredictable on-call schedule","get home for dinner","run a daily pool check","false","false","63.7","65.7","79.7","failed_first_value","facility completion packet needs richer evidence capture"
"2470","DEMO-TEST-SL-5000-FACILITY-0450","facility","Facility / CPO","municipal or school facility","raising young children","protect dinner at home","teach the next person faster","prepare an escalation packet","false","false","63.7","65.4","75.8","failed_first_value","facility completion packet needs richer evidence capture"
"2471","DEMO-TEST-SL-5000-FACILITY-0527","facility","Facility / CPO","municipal or school facility","sandwich caregiver","school or daycare pickup","teach the next person faster","prepare an escalation packet","false","false","63.7","65.1","79.8","failed_first_value","facility completion packet needs richer evidence capture"
"2472","DEMO-TEST-SL-5000-TECH-0990","tech","Service Tech","repair-only specialist","raising young children","unpredictable on-call schedule","feel confident without calling a boss","save visit proof","false","false","63.7","64.4","79.9","failed_first_value","dynamic workflow state needs stronger screen-reader announcements"
"2473","DEMO-TEST-SL-5000-TECH-0227","tech","Service Tech","warranty service route","raising young children","elder-care responsibility","feel confident without calling a boss","prepare a senior-tech packet","true","false","63.7","64.2","79.9","weak_payoff","dynamic workflow state needs stronger screen-reader announcements"
"2474","DEMO-TEST-SL-5000-COUNTER-0573","counter","Counter / Distributor","independent pool store","established family","protect dinner at home","teach the next person faster","identify a walk-in part","true","false","63.7","63.5","71.2","weak_payoff","proof packet value is invisible before the first successful scan"
"2475","DEMO-TEST-SL-5000-COUNTER-0945","counter","Counter / Distributor","service-company stock room","sandwich caregiver","second job or side work","feel confident without calling a boss","send a vendor packet","true","false","63.7","62.7","80.1","weak_payoff","proof packet value is invisible before the first successful scan"
"2476","DEMO-TEST-SL-5000-COUNTER-0985","counter","Counter / Distributor","mobile parts seller","raising young children","unpredictable on-call schedule","avoid a weekend callback","send a vendor packet","false","false","63.7","62.4","85","failed_first_value","proof packet value is invisible before the first successful scan"
"2477","DEMO-TEST-SL-5000-TECH-0044","tech","Service Tech","repair-only specialist","raising young children","school or daycare pickup","avoid a weekend callback","identify an equipment code","true","false","63.6","68.5","84.1","weak_payoff","secondary controls need larger touch targets"
"2478","DEMO-TEST-SL-5000-FACILITY-0097","facility","Facility / CPO","apartment or HOA pool","early career","elder-care responsibility","avoid a weekend callback","document a dose","true","false","63.6","66.7","79.5","weak_payoff","facility completion packet needs richer evidence capture"
"2479","DEMO-TEST-SL-5000-FACILITY-0901","facility","Facility / CPO","swim school","raising young children","elder-care responsibility","get home for dinner","respond to a contamination event","true","false","63.6","66.6","84.4","weak_payoff","facility completion packet needs richer evidence capture"
"2480","DEMO-TEST-SL-5000-COUNTER-0511","counter","Counter / Distributor","regional distributor counter","early career","school or daycare pickup","get home for dinner","send a vendor packet","true","false","63.6","66.5","79.4","weak_payoff","proof packet value is invisible before the first successful scan"
"2481","DEMO-TEST-SL-5000-TECH-0629","tech","Service Tech","solo residential route","established family","elder-care responsibility","feel confident without calling a boss","prepare a senior-tech packet","true","false","63.6","65.8","74.8","weak_payoff","dense supporting copy is difficult to scan"
"2482","DEMO-TEST-SL-5000-COUNTER-0537","counter","Counter / Distributor","mobile parts seller","raising young children","protect dinner at home","get home for dinner","collect the missing label proof","true","false","63.6","65.5","80.6","weak_payoff","proof packet value is invisible before the first successful scan"
"2483","DEMO-TEST-SL-5000-TECH-0638","tech","Service Tech","warranty service route","sandwich caregiver","second job or side work","teach the next person faster","identify an equipment code","true","false","63.6","65.2","79.7","weak_payoff","secondary controls need larger touch targets"
"2484","DEMO-TEST-SL-5000-COUNTER-0784","counter","Counter / Distributor","service-company stock room","established family","second job or side work","avoid a weekend callback","identify a walk-in part","true","false","63.6","64.3","79.8","weak_payoff","proof packet value is invisible before the first successful scan"
"2485","DEMO-TEST-SL-5000-FACILITY-0187","facility","Facility / CPO","swim school","early career","elder-care responsibility","teach the next person faster","run a daily pool check","false","false","63.6","63.9","75","failed_first_value","facility completion packet needs richer evidence capture"
"2486","DEMO-TEST-SL-5000-TRAINER-0173","trainer","Trainer","independent online training","sandwich caregiver","unpredictable on-call schedule","get home for dinner","practice escalation questions","true","false","63.6","63.6","84.8","weak_payoff","training value is hidden until after a PartSnap result"
"2487","DEMO-TEST-SL-5000-HOMEOWNER-0753","homeowner","Homeowner","HOA board volunteer","sandwich caregiver","unpredictable on-call schedule","feel confident without calling a boss","estimate pool volume","true","true","63.5","72.6","86.5","weak_payoff","technical navigation remains too broad for homeowner mode"
"2488","DEMO-TEST-SL-5000-FACILITY-0487","facility","Facility / CPO","swim school","early career","elder-care responsibility","feel confident without calling a boss","record equipment proof","false","false","63.5","66.9","74.5","failed_first_value","facility completion packet needs richer evidence capture"
"2489","DEMO-TEST-SL-5000-TECH-0184","tech","Service Tech","repair-only specialist","established family","school or daycare pickup","protect customer or facility trust","identify an equipment code","false","false","63.5","66.8","74.6","failed_first_value","too many tools remain visible after role choice"
"2490","DEMO-TEST-SL-5000-TECH-0596","tech","Service Tech","repair-only specialist","sandwich caregiver","protect dinner at home","feel confident without calling a boss","save visit proof","false","false","63.5","66.8","75.5","failed_first_value","secondary controls need larger touch targets"
"2491","DEMO-TEST-SL-5000-FACILITY-0839","facility","Facility / CPO","swim school","raising young children","protect dinner at home","avoid a weekend callback","respond to a contamination event","false","false","63.5","65.1","80.7","failed_first_value","facility completion packet needs richer evidence capture"
"2492","DEMO-TEST-SL-5000-FACILITY-0610","facility","Facility / CPO","municipal or school facility","established family","protect dinner at home","protect customer or facility trust","document a dose","true","false","63.5","64.9","70.9","weak_payoff","facility completion packet needs richer evidence capture"
"2493","DEMO-TEST-SL-5000-COUNTER-0218","counter","Counter / Distributor","manufacturer support desk","late career or empty nest","protect dinner at home","avoid a weekend callback","collect the missing label proof","false","false","63.5","64.9","75.8","failed_first_value","proof packet value is invisible before the first successful scan"
"2494","DEMO-TEST-SL-5000-FACILITY-0290","facility","Facility / CPO","fitness or medical facility","raising young children","second job or side work","avoid a weekend callback","run a daily pool check","false","false","63.5","62.7","84.9","failed_first_value","facility completion packet needs richer evidence capture"
"2495","DEMO-TEST-SL-5000-COUNTER-0513","counter","Counter / Distributor","service-company stock room","early career","unpredictable on-call schedule","teach the next person faster","compare possible part families","false","false","63.5","62.7","75.1","failed_first_value","proof packet value is invisible before the first successful scan"
"2496","DEMO-TEST-SL-5000-TECH-0163","tech","Service Tech","commercial pool route","late career or empty nest","school or daycare pickup","protect customer or facility trust","prepare a senior-tech packet","false","false","63.4","67.2","74.4","failed_first_value","dynamic workflow state needs stronger screen-reader announcements"
"2497","DEMO-TEST-SL-5000-TECH-0612","tech","Service Tech","commercial pool route","late career or empty nest","elder-care responsibility","avoid a weekend callback","save visit proof","true","false","63.4","67.1","79.4","weak_payoff","dense supporting copy is difficult to scan"
"2498","DEMO-TEST-SL-5000-FACILITY-0474","facility","Facility / CPO","apartment or HOA pool","sandwich caregiver","school or daycare pickup","avoid a weekend callback","prepare an escalation packet","false","false","63.4","65.8","84.5","failed_first_value","facility completion packet needs richer evidence capture"
"2499","DEMO-TEST-SL-5000-COUNTER-0274","counter","Counter / Distributor","manufacturer support desk","raising young children","elder-care responsibility","avoid a weekend callback","reduce a wrong counter sale","true","false","63.4","65.8","84.4","weak_payoff","proof packet value is invisible before the first successful scan"
"2500","DEMO-TEST-SL-5000-COUNTER-0601","counter","Counter / Distributor","independent pool store","sandwich caregiver","protect dinner at home","avoid a weekend callback","send a vendor packet","false","false","63.4","65.8","80.5","failed_first_value","proof packet value is invisible before the first successful scan"
"2501","DEMO-TEST-SL-5000-FACILITY-0443","facility","Facility / CPO","fitness or medical facility","raising young children","elder-care responsibility","feel confident without calling a boss","respond to a contamination event","false","false","63.4","65.6","79.6","failed_first_value","facility completion packet needs richer evidence capture"
"2502","DEMO-TEST-SL-5000-TECH-0634","tech","Service Tech","repair-only specialist","late career or empty nest","protect dinner at home","teach the next person faster","save visit proof","false","false","63.4","65.5","70.8","failed_first_value","secondary controls need larger touch targets"
"2503","DEMO-TEST-SL-5000-FACILITY-0619","facility","Facility / CPO","fitness or medical facility","late career or empty nest","protect dinner at home","teach the next person faster","record equipment proof","false","false","63.4","65.3","70.8","failed_first_value","facility completion packet needs richer evidence capture"
"2504","DEMO-TEST-SL-5000-COUNTER-0451","counter","Counter / Distributor","service-company stock room","raising young children","protect dinner at home","protect customer or facility trust","send a vendor packet","false","false","63.4","65.3","75.7","failed_first_value","proof packet value is invisible before the first successful scan"
"2505","DEMO-TEST-SL-5000-TECH-0982","tech","Service Tech","multi-tech service company","raising young children","unpredictable on-call schedule","get home for dinner","avoid a wrong part order","true","false","63.4","63.9","84.8","weak_payoff","service-tech start favors code lookup over the PartSnap fork"
"2506","DEMO-TEST-SL-5000-FACILITY-0397","facility","Facility / CPO","swim school","raising young children","unpredictable on-call schedule","protect customer or facility trust","document a dose","false","false","63.4","63.9","79.9","failed_first_value","facility completion packet needs richer evidence capture"
"2507","DEMO-TEST-SL-5000-FACILITY-0273","facility","Facility / CPO","hotel or resort","raising young children","elder-care responsibility","teach the next person faster","run a daily pool check","false","false","63.4","63.3","79.9","failed_first_value","facility completion packet needs richer evidence capture"
"2508","DEMO-TEST-SL-5000-COUNTER-0111","counter","Counter / Distributor","mobile parts seller","early career","elder-care responsibility","teach the next person faster","compare possible part families","true","false","63.4","60.6","75.4","weak_payoff","proof packet value is invisible before the first successful scan"
"2509","DEMO-TEST-SL-5000-TECH-0022","tech","Service Tech","commercial pool route","sandwich caregiver","elder-care responsibility","protect customer or facility trust","identify an equipment code","false","false","63.3","67.2","79.3","failed_first_value","too many tools remain visible after role choice"
"2510","DEMO-TEST-SL-5000-TECH-0024","tech","Service Tech","multi-tech service company","established family","protect dinner at home","teach the next person faster","prepare a senior-tech packet","false","false","63.3","67.2","70.6","failed_first_value","dense supporting copy is difficult to scan"
"2511","DEMO-TEST-SL-5000-TECH-0348","tech","Service Tech","warranty service route","early career","protect dinner at home","feel confident without calling a boss","calculate a field dose","false","false","63.3","66.6","70.6","failed_first_value","secondary controls need larger touch targets"
"2512","DEMO-TEST-SL-5000-COUNTER-0338","counter","Counter / Distributor","regional distributor counter","early career","elder-care responsibility","feel confident without calling a boss","identify a walk-in part","true","false","63.3","66","74.6","weak_payoff","proof packet value is invisible before the first successful scan"
"2513","DEMO-TEST-SL-5000-COUNTER-0487","counter","Counter / Distributor","regional distributor counter","late career or empty nest","second job or side work","feel confident without calling a boss","collect the missing label proof","false","false","63.3","65.9","74.6","failed_first_value","proof packet value is invisible before the first successful scan"
"2514","DEMO-TEST-SL-5000-FACILITY-0815","facility","Facility / CPO","swim school","raising young children","second job or side work","avoid a weekend callback","prepare an escalation packet","false","false","63.3","65.3","84.5","failed_first_value","facility completion packet needs richer evidence capture"
"2515","DEMO-TEST-SL-5000-TRAINER-0518","trainer","Trainer","trade-school lab","raising young children","elder-care responsibility","protect customer or facility trust","use a facility scenario","true","false","63.3","63.6","79.8","weak_payoff","training value is hidden until after a PartSnap result"
"2516","DEMO-TEST-SL-5000-COUNTER-0355","counter","Counter / Distributor","mobile parts seller","late career or empty nest","second job or side work","teach the next person faster","send a vendor packet","false","false","63.3","62.7","75.1","failed_first_value","proof packet value is invisible before the first successful scan"
"2517","DEMO-TEST-SL-5000-COUNTER-0563","counter","Counter / Distributor","independent pool store","raising young children","second job or side work","feel confident without calling a boss","compare possible part families","false","false","63.3","62.5","80.1","failed_first_value","proof packet value is invisible before the first successful scan"
"2518","DEMO-TEST-SL-5000-TECH-0710","tech","Service Tech","multi-tech service company","raising young children","elder-care responsibility","protect customer or facility trust","calculate a field dose","false","false","63.2","67.9","79.2","failed_first_value","dynamic workflow state needs stronger screen-reader announcements"
"2519","DEMO-TEST-SL-5000-FACILITY-0520","facility","Facility / CPO","apartment or HOA pool","sandwich caregiver","second job or side work","teach the next person faster","respond to a contamination event","true","false","63.2","65.9","79.5","weak_payoff","facility completion packet needs richer evidence capture"
"2520","DEMO-TEST-SL-5000-FACILITY-0455","facility","Facility / CPO","fitness or medical facility","raising young children","unpredictable on-call schedule","get home for dinner","respond to a contamination event","false","false","63.2","65.6","84.4","failed_first_value","facility completion packet needs richer evidence capture"
"2521","DEMO-TEST-SL-5000-TECH-0829","tech","Service Tech","repair-only specialist","early career","elder-care responsibility","feel confident without calling a boss","avoid a wrong part order","false","false","63.2","65.4","74.7","failed_first_value","service-tech start favors code lookup over the PartSnap fork"
"2522","DEMO-TEST-SL-5000-COUNTER-0416","counter","Counter / Distributor","mobile parts seller","late career or empty nest","school or daycare pickup","get home for dinner","send a vendor packet","true","false","63.2","65.4","79.5","weak_payoff","proof packet value is invisible before the first successful scan"
"2523","DEMO-TEST-SL-5000-TECH-0787","tech","Service Tech","solo residential route","established family","second job or side work","get home for dinner","identify an equipment code","true","false","63.2","65.3","79.6","weak_payoff","dense supporting copy is difficult to scan"
"2524","DEMO-TEST-SL-5000-COUNTER-0491","counter","Counter / Distributor","service-company stock room","late career or empty nest","elder-care responsibility","teach the next person faster","identify a walk-in part","false","false","63.2","64.7","74.7","failed_first_value","proof packet value is invisible before the first successful scan"
"2525","DEMO-TEST-SL-5000-COUNTER-0617","counter","Counter / Distributor","service-company stock room","established family","elder-care responsibility","protect customer or facility trust","identify a walk-in part","true","false","63.2","62.5","75.1","weak_payoff","proof packet value is invisible before the first successful scan"
"2526","DEMO-TEST-SL-5000-TRAINER-0498","trainer","Trainer","independent online training","sandwich caregiver","elder-care responsibility","avoid a weekend callback","practice escalation questions","true","true","63.1","73.1","91.2","weak_payoff","training value is hidden until after a PartSnap result"
"2527","DEMO-TEST-SL-5000-TRAINER-0019","trainer","Trainer","manufacturer training","late career or empty nest","school or daycare pickup","protect customer or facility trust","teach proof before ordering","true","true","63.1","72.9","81.4","weak_payoff","training value is hidden until after a PartSnap result"
"2528","DEMO-TEST-SL-5000-FACILITY-0793","facility","Facility / CPO","swim school","late career or empty nest","protect dinner at home","avoid a weekend callback","record equipment proof","false","false","63.1","69","75.1","failed_first_value","facility completion packet needs richer evidence capture"
"2529","DEMO-TEST-SL-5000-FACILITY-0880","facility","Facility / CPO","fitness or medical facility","late career or empty nest","protect dinner at home","teach the next person faster","record equipment proof","true","false","63.1","68.2","70.3","weak_payoff","facility completion packet needs richer evidence capture"
"2530","DEMO-TEST-SL-5000-TECH-0618","tech","Service Tech","repair-only specialist","early career","second job or side work","feel confident without calling a boss","save visit proof","false","false","63.1","68","74.2","failed_first_value","too many tools remain visible after role choice"
"2531","DEMO-TEST-SL-5000-FACILITY-0993","facility","Facility / CPO","apartment or HOA pool","established family","protect dinner at home","protect customer or facility trust","run a daily pool check","false","false","63.1","65.4","70.8","failed_first_value","facility completion packet needs richer evidence capture"
"2532","DEMO-TEST-SL-5000-FACILITY-0075","facility","Facility / CPO","swim school","established family","school or daycare pickup","protect customer or facility trust","prepare an escalation packet","false","false","63.1","65","74.7","failed_first_value","facility completion packet needs richer evidence capture"
"2533","DEMO-TEST-SL-5000-TECH-0189","tech","Service Tech","solo residential route","raising young children","school or daycare pickup","feel confident without calling a boss","prepare a senior-tech packet","false","false","63.1","64.7","79.7","failed_first_value","secondary controls need larger touch targets"
"2534","DEMO-TEST-SL-5000-TECH-0202","tech","Service Tech","multi-tech service company","raising young children","unpredictable on-call schedule","feel confident without calling a boss","prepare a senior-tech packet","true","false","63.1","64.6","79.6","weak_payoff","dynamic workflow state needs stronger screen-reader announcements"
"2535","DEMO-TEST-SL-5000-FACILITY-0233","facility","Facility / CPO","swim school","established family","unpredictable on-call schedule","teach the next person faster","respond to a contamination event","false","false","63.1","64","74.8","failed_first_value","facility completion packet needs richer evidence capture"
"2536","DEMO-TEST-SL-5000-TECH-0317","tech","Service Tech","multi-tech service company","late career or empty nest","school or daycare pickup","avoid a weekend callback","avoid a wrong part order","false","false","63.1","63.3","79.9","failed_first_value","service-tech start favors code lookup over the PartSnap fork"
"2537","DEMO-TEST-SL-5000-COUNTER-0739","counter","Counter / Distributor","independent pool store","established family","unpredictable on-call schedule","feel confident without calling a boss","reduce a wrong counter sale","true","false","63.1","62.5","75.1","weak_payoff","proof packet value is invisible before the first successful scan"
"2538","DEMO-TEST-SL-5000-TECH-0699","tech","Service Tech","multi-tech service company","established family","second job or side work","protect customer or facility trust","identify an equipment code","false","false","63.1","62.4","75.2","failed_first_value","dynamic workflow state needs stronger screen-reader announcements"
"2539","DEMO-TEST-SL-5000-TECH-0685","tech","Service Tech","repair-only specialist","established family","unpredictable on-call schedule","get home for dinner","prepare a senior-tech packet","true","false","63","67.6","79.2","weak_payoff","dynamic workflow state needs stronger screen-reader announcements"
"2540","DEMO-TEST-SL-5000-FACILITY-0370","facility","Facility / CPO","municipal or school facility","late career or empty nest","unpredictable on-call schedule","get home for dinner","record equipment proof","false","false","63","66.4","79.3","failed_first_value","facility completion packet needs richer evidence capture"
"2541","DEMO-TEST-SL-5000-FACILITY-0144","facility","Facility / CPO","municipal or school facility","early career","unpredictable on-call schedule","feel confident without calling a boss","respond to a contamination event","true","false","63","66.1","74.5","weak_payoff","facility completion packet needs richer evidence capture"
"2542","DEMO-TEST-SL-5000-FACILITY-0532","facility","Facility / CPO","municipal or school facility","early career","second job or side work","feel confident without calling a boss","prepare an escalation packet","false","false","63","66","74.5","failed_first_value","facility completion packet needs richer evidence capture"
"2543","DEMO-TEST-SL-5000-TECH-0176","tech","Service Tech","commercial pool route","sandwich caregiver","unpredictable on-call schedule","avoid a weekend callback","save visit proof","false","false","63","65.7","84.4","failed_first_value","dynamic workflow state needs stronger screen-reader announcements"
"2544","DEMO-TEST-SL-5000-FACILITY-0546","facility","Facility / CPO","fitness or medical facility","established family","elder-care responsibility","protect customer or facility trust","record equipment proof","false","false","63","65.5","74.6","failed_first_value","facility completion packet needs richer evidence capture"
"2545","DEMO-TEST-SL-5000-COUNTER-0093","counter","Counter / Distributor","regional distributor counter","established family","elder-care responsibility","get home for dinner","collect the missing label proof","true","false","63","65.5","79.5","weak_payoff","proof packet value is invisible before the first successful scan"
"2546","DEMO-TEST-SL-5000-TECH-0783","tech","Service Tech","commercial pool route","established family","school or daycare pickup","protect customer or facility trust","avoid a wrong part order","true","false","63","65.4","74.6","weak_payoff","service-tech start favors code lookup over the PartSnap fork"
"2547","DEMO-TEST-SL-5000-COUNTER-0749","counter","Counter / Distributor","independent pool store","established family","second job or side work","avoid a weekend callback","collect the missing label proof","false","false","63","64.7","79.6","failed_first_value","proof packet value is invisible before the first successful scan"
"2548","DEMO-TEST-SL-5000-TECH-0799","tech","Service Tech","commercial pool route","late career or empty nest","protect dinner at home","get home for dinner","prepare a senior-tech packet","false","false","63","64.5","75.8","failed_first_value","secondary controls need larger touch targets"
"2549","DEMO-TEST-SL-5000-COUNTER-0212","counter","Counter / Distributor","manufacturer support desk","established family","second job or side work","get home for dinner","compare possible part families","false","false","63","64","79.7","failed_first_value","proof packet value is invisible before the first successful scan"
"2550","DEMO-TEST-SL-5000-TECH-0292","tech","Service Tech","warranty service route","early career","protect dinner at home","teach the next person faster","identify an equipment code","false","false","63","63.5","71","failed_first_value","too many tools remain visible after role choice"
"2551","DEMO-TEST-SL-5000-TECH-0974","tech","Service Tech","warranty service route","late career or empty nest","unpredictable on-call schedule","teach the next person faster","prepare a senior-tech packet","true","false","63","62.9","75","weak_payoff","language or visual-step preference is absent from first use"
"2552","DEMO-TEST-SL-5000-TECH-0347","tech","Service Tech","multi-tech service company","established family","second job or side work","protect customer or facility trust","prepare a senior-tech packet","true","false","63","62.8","75","weak_payoff","dense supporting copy is difficult to scan"
"2553","DEMO-TEST-SL-5000-FACILITY-0846","facility","Facility / CPO","fitness or medical facility","late career or empty nest","elder-care responsibility","teach the next person faster","prepare an escalation packet","false","false","63","62.7","75","failed_first_value","facility completion packet needs richer evidence capture"
"2554","DEMO-TEST-SL-5000-COUNTER-0304","counter","Counter / Distributor","independent pool store","established family","school or daycare pickup","teach the next person faster","send a vendor packet","true","false","63","62.1","75.1","weak_payoff","proof packet value is invisible before the first successful scan"
"2555","DEMO-TEST-SL-5000-COUNTER-0050","counter","Counter / Distributor","service-company stock room","late career or empty nest","school or daycare pickup","get home for dinner","collect the missing label proof","true","false","63","61.9","80","weak_payoff","proof packet value is invisible before the first successful scan"
"2556","DEMO-TEST-SL-5000-COUNTER-0354","counter","Counter / Distributor","independent pool store","early career","elder-care responsibility","avoid a weekend callback","compare possible part families","true","false","63","61.9","80","weak_payoff","proof packet value is invisible before the first successful scan"
"2557","DEMO-TEST-SL-5000-HOMEOWNER-0635","homeowner","Homeowner","short-term rental owner","late career or empty nest","elder-care responsibility","protect customer or facility trust","prepare a clear note for a pro","true","false","63","60.7","75.2","weak_payoff","technical navigation remains too broad for homeowner mode"
"2558","DEMO-TEST-SL-5000-COUNTER-0701","counter","Counter / Distributor","independent pool store","late career or empty nest","second job or side work","get home for dinner","send a vendor packet","false","false","62.9","66.3","79.2","failed_first_value","proof packet value is invisible before the first successful scan"
"2559","DEMO-TEST-SL-5000-FACILITY-0015","facility","Facility / CPO","fitness or medical facility","established family","second job or side work","teach the next person faster","respond to a contamination event","true","false","62.9","65.5","74.6","weak_payoff","facility completion packet needs richer evidence capture"
"2560","DEMO-TEST-SL-5000-TECH-0018","tech","Service Tech","repair-only specialist","late career or empty nest","second job or side work","get home for dinner","calculate a field dose","true","false","62.9","64.8","79.6","weak_payoff","secondary controls need larger touch targets"
"2561","DEMO-TEST-SL-5000-COUNTER-0827","counter","Counter / Distributor","manufacturer support desk","late career or empty nest","second job or side work","avoid a weekend callback","collect the missing label proof","false","false","62.9","63.7","79.7","failed_first_value","proof packet value is invisible before the first successful scan"
"2562","DEMO-TEST-SL-5000-TECH-0592","tech","Service Tech","solo residential route","established family","unpredictable on-call schedule","avoid a weekend callback","identify an equipment code","false","false","62.9","62.3","79.9","failed_first_value","dynamic workflow state needs stronger screen-reader announcements"
"2563","DEMO-TEST-SL-5000-COUNTER-0383","counter","Counter / Distributor","independent pool store","early career","protect dinner at home","avoid a weekend callback","collect the missing label proof","false","false","62.9","62.2","76","failed_first_value","proof packet value is invisible before the first successful scan"
"2564","DEMO-TEST-SL-5000-TECH-0320","tech","Service Tech","repair-only specialist","early career","second job or side work","get home for dinner","prepare a senior-tech packet","false","false","62.8","65.9","79.4","failed_first_value","dense supporting copy is difficult to scan"
"2565","DEMO-TEST-SL-5000-FACILITY-0173","facility","Facility / CPO","hotel or resort","late career or empty nest","school or daycare pickup","protect customer or facility trust","respond to a contamination event","false","false","62.8","65.7","74.5","failed_first_value","facility completion packet needs richer evidence capture"
"2566","DEMO-TEST-SL-5000-TECH-0033","tech","Service Tech","solo residential route","late career or empty nest","elder-care responsibility","avoid a weekend callback","prepare a senior-tech packet","false","false","62.8","65.6","79.5","failed_first_value","dynamic workflow state needs stronger screen-reader announcements"
"2567","DEMO-TEST-SL-5000-FACILITY-0615","facility","Facility / CPO","swim school","late career or empty nest","elder-care responsibility","teach the next person faster","record equipment proof","false","false","62.8","65.5","74.6","failed_first_value","facility completion packet needs richer evidence capture"
"2568","DEMO-TEST-SL-5000-COUNTER-0606","counter","Counter / Distributor","service-company stock room","established family","protect dinner at home","teach the next person faster","collect the missing label proof","false","false","62.8","65.4","70.6","failed_first_value","proof packet value is invisible before the first successful scan"
"2569","DEMO-TEST-SL-5000-FACILITY-0661","facility","Facility / CPO","municipal or school facility","established family","elder-care responsibility","avoid a weekend callback","document a dose","true","false","62.8","65.1","79.5","weak_payoff","facility completion packet needs richer evidence capture"
"2570","DEMO-TEST-SL-5000-COUNTER-0127","counter","Counter / Distributor","service-company stock room","sandwich caregiver","school or daycare pickup","protect customer or facility trust","send a vendor packet","false","false","62.8","64.3","79.6","failed_first_value","proof packet value is invisible before the first successful scan"
"2571","DEMO-TEST-SL-5000-TECH-0581","tech","Service Tech","commercial pool route","late career or empty nest","second job or side work","teach the next person faster","save visit proof","false","false","62.8","63.9","74.8","failed_first_value","too many tools remain visible after role choice"
"2572","DEMO-TEST-SL-5000-FACILITY-0106","facility","Facility / CPO","apartment or HOA pool","raising young children","school or daycare pickup","teach the next person faster","prepare an escalation packet","true","false","62.8","63.9","79.7","weak_payoff","facility completion packet needs richer evidence capture"
"2573","DEMO-TEST-SL-5000-COUNTER-0688","counter","Counter / Distributor","regional distributor counter","established family","unpredictable on-call schedule","feel confident without calling a boss","collect the missing label proof","false","false","62.8","63.2","74.9","failed_first_value","proof packet value is invisible before the first successful scan"
"2574","DEMO-TEST-SL-5000-TRAINER-0230","trainer","Trainer","manufacturer training","early career","elder-care responsibility","avoid a weekend callback","practice escalation questions","true","false","62.8","62.9","79.7","weak_payoff","training value is hidden until after a PartSnap result"
"2575","DEMO-TEST-SL-5000-COUNTER-0759","counter","Counter / Distributor","manufacturer support desk","sandwich caregiver","elder-care responsibility","feel confident without calling a boss","compare possible part families","false","false","62.8","62.7","79.8","failed_first_value","proof packet value is invisible before the first successful scan"
"2576","DEMO-TEST-SL-5000-COUNTER-0946","counter","Counter / Distributor","regional distributor counter","late career or empty nest","school or daycare pickup","get home for dinner","reduce a wrong counter sale","true","false","62.8","61.2","80.1","weak_payoff","proof packet value is invisible before the first successful scan"
"2577","DEMO-TEST-SL-5000-FACILITY-0109","facility","Facility / CPO","municipal or school facility","late career or empty nest","unpredictable on-call schedule","avoid a weekend callback","respond to a contamination event","true","false","62.7","67.1","79.1","weak_payoff","facility completion packet needs richer evidence capture"
"2578","DEMO-TEST-SL-5000-TECH-0158","tech","Service Tech","repair-only specialist","established family","unpredictable on-call schedule","avoid a weekend callback","prepare a senior-tech packet","true","false","62.7","66.7","79.3","weak_payoff","secondary controls need larger touch targets"
"2579","DEMO-TEST-SL-5000-COUNTER-0340","counter","Counter / Distributor","mobile parts seller","sandwich caregiver","protect dinner at home","teach the next person faster","send a vendor packet","true","false","62.7","66.4","75.3","weak_payoff","proof packet value is invisible before the first successful scan"
"2580","DEMO-TEST-SL-5000-TECH-0283","tech","Service Tech","warranty service route","late career or empty nest","protect dinner at home","get home for dinner","prepare a senior-tech packet","false","false","62.7","66.3","75.4","failed_first_value","dense supporting copy is difficult to scan"
